Name,Url,Telephone,Location,Investment (1000 Euros),Ci,Cap ,Demand ,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
St Johns Priory,,3.54E+11,233,489,3,300,6,-7.248489188,52.65368264,Kilkenny,Kilkenny City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Riversdale Barge Holidays,http://www.riversdaleholidays.com/,3.54E+11,9,355,2,299,5,-7.7950084,54.0294267,Leitrim,Ballinamore,Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Killala Quay,,,97,157,3,299,12,-9.2192835,54.213245,Mayo,Killala,Ireland,Discovery Point
Carlow Town Walk - Slí na Sláinte,https://carlowtourism.com/carlow-town-walk/,3.54E+11,119,290,5,299,3,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Ballybunion Lahardane Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Lahardane-Hill-Walk/608/,+353(0)667121288,275,243,3,299,10,-9.653116507,52.50812603,Kerry,Ballybunion,Republic of Ireland,"Walking,Natural Landscape"
Carrowteige - Black Ditch Loop,https://www.irishtrails.ie/Trail/Carrowteige---Black-Ditch-loop/140/ ,,537,412,4,298,7,-9.987016054,54.22138267,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
St Michan's Church,,35318724154,145,331,1,297,4,-6.275396,53.347458,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Toe Head Bay,,,227,185,3,297,5,-9.2476666,51.493251,Cork,Castletownshend,Ireland,Discovery Point
Ballyvaughan Pier,,,490,113,1,297,7,-9.153682,53.119533,Clare,Ballyvaughan,Ireland,Discovery Point
James Joyce,http://www.talkingstatuesdublin.ie/statues/james-joyce/,+353(0)16057700,16,283,1,296,10,-6.259782198,53.3499184,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Muckross Friary,http://www.heritageireland.ie/en,3.54E+11,176,468,5,296,12,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins"
St. Patricks Well - Clonmel,,3.54E+11,178,336,1,296,7,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Geological Museum,https://trinitygeologicalmuseum.com/,+353(0)18961477,417,373,5,296,3,-6.261219,53.344479,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction"
Whitefriar Street Church,http://www.carmelites.ie,+353(0)14758821,50,210,5,295,9,-6.266452,53.339835,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Food Shops,Shopping"
Tombrick Garden,https://www.discoverireland.ie/Arts-Culture-Heritage/tombrick-garden/76568,3.54E+11,356,230,3,295,4,-6.569058713,52.5809255,Wexford,Ballycarney,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Master McGrath Monument,https://www.buildingsofireland.ie/buildings-search/building/22903003/master-mcgrath-monument-ballymacmague-south-county-waterford,3535841741,434,113,3,295,10,-7.621652,52.088003,Waterford,Dungarvan,Republic of Ireland,"Historic Houses and Castle,Public Sculpture"
Mountcharles Pier,,,530,260,2,295,10,-8.2061166,54.630369,Donegal,Mountcharles,Ireland,Discovery Point
Findlater Church,,+353(0)18378600,25,469,5,294,6,-6.263976,53.35462,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
University College Cork -UCC,http://www.ucc.ie/en/discover,3.53E+11,245,322,1,294,7,-8.492377,51.89182,Cork,Cork City,Republic of Ireland,"Restaurant,Historic Houses and Castle,Cafe,Food and Drink"
Genealogy Service National Library of Ireland,https://www.nli.ie/en/intro/family-history-introduction.aspx,35316030200,333,221,4,294,11,-6.25509,53.340139,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
Cappagh Pier,,,114,220,2,293,6,-9.498637,52.628546,Clare,Kilrush,Ireland,Discovery Point
Wild Ireland,https://www.wildireland.org,,243,247,5,293,4,-7.3386082,55.0522279,Donegal,,Republic of Ireland,"Covid Safety Charter,Visitor Farm,Tour"
Bearna Breac Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,531,160,2,292,10,-7.398690855,52.46418975,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,3.53E+11,22,412,2,291,10,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Castle,Historic Houses and Castle"
Arklow Beach,,,110,119,3,291,4,-6.126780942,52.81185983,Wicklow,Arklow,Ireland,Beach
George Salmon,http://www.talkingstatuesdublin.ie/statues/george-salmon/,,321,344,3,291,11,-6.25735238,53.34455452,Dublin,,Ireland,"Public Sculpture,Talking Statue,Tour"
Wolfe Tone,http://www.talkingstatuesdublin.ie/statues/wolfe-tone/,,438,467,1,290,7,-6.255943265,53.33839461,Dublin,,Ireland,"Public Sculpture,Talking Statue"
William Smith O'Brien Monument,http://www.visitdublin.com,+353(0)16057700,124,153,1,289,10,-6.259341,53.348576,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,156,178,2,289,6,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Bram Stoker’s Castle Dracula Experience Dublin,http://www.CastleDracula.ie,+353(0)18512151,228,325,2,289,8,-6.229030364,53.36303247,Dublin,Clontarf,Ireland,"Activity Operator,Museums and Attraction,Literary Ireland,Venue,Music,Food Shops,Shopping"
Dublin City Hall,http://www.dublincityhall.ie,+353(0)12222204,370,305,1,289,6,-6.267149169,53.34392243,Dublin,,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink"
Goats Island ,,,489,492,5,289,11,-7.761013,51.9456704,Waterford,,Ireland,Beach
Droichead Charraig an Logáin (Carrickalegaun Bridge) .,,,69,411,1,288,12,-9.6563065,53.288173,Galway,Lettermore,Ireland,Discovery Point
Wood Quay,http://www.visitdublin.com/dublin-a-to-z/details/wood-quay/49834/,+353(0)14370969,161,440,1,288,9,-6.26098,53.343599,Dublin,,Republic of Ireland,"Public Sculpture,Ruins,Historic Houses and Castle"
Eighty Two Merrion Square,,+353(0)16761173,195,366,2,288,12,-6.251328,53.339313,Dublin,Dublin City Centre,Republic of Ireland,"Castle,Historic Houses and Castle"
Coomanaspic,,,383,419,4,288,12,-10.367267,51.85617,Kerry,Portmagee,Ireland,Discovery Point
Trá na gCeann (Silver Strand),,,40,202,1,287,5,-9.1247356,53.250939,Galway,Barna,Ireland,Discovery Point
The Manor Fields Adare,http://manorfieldsadare.com/,3.54E+11,170,183,2,287,12,-8.7913384,52.5547882,Limerick,Adare,Republic of Ireland,"Climbing,Activity Operator,Gaa,Walking"
"Victorian People's Flower Gardens, Phoenix Park",http://phoenixpark.ie/what-to-see/,+353(0)18213021,172,355,4,287,12,-6.299662901,53.35038531,Dublin,Phoenix Park,Ireland,"Walking,Gardens,Garden,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Kennedy's All-Weather Pet Farm & Playgrounds,http://kennedyspetfarm.com/,3.54E+11,397,371,5,287,7,-9.391947854,52.02963434,Kerry,Headford,Republic of Ireland,Visitor Farm
Meeting Place,http://www.talkingstatuesdublin.ie/statues/meeting-place/,,336,448,4,286,3,-6.26328888,53.3467344,Dublin,,Ireland,"Public Sculpture,Talking Statue"
Architectural History Ireland,https://www.riai.ie/discover-architecture/architecture-tours,+353(0)16761703 ,358,405,5,286,3,-6.2473358,53.3399625,Dublin,,Ireland,"Walking,Activity Operator,Historic Houses and Castle,Tour"
Berkeley Forest House,http://berkeleyforesthouse.com,35351421361,447,329,2,286,4,-6.873299053,52.41402524,Wexford,New Ross,Republic of Ireland,"Castle,Historic Houses and Castle"
Kilfane Church,,3.54E+11,73,171,1,285,5,-7.118503,52.555069,Kilkenny,Thomastown,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Top of the Rock Viewing Platform Trail,https://facebook.com/rockviewingplatform,+353(0)872989250,311,414,2,285,6,-10.25257468,51.96038621,Kerry,Cahersiveen,Ireland,"Photography,Learning,Walking,Natural Landscape"
Roonagh Pier,,+353(0)9825711,331,343,4,285,9,-9.9038798,53.761692,Mayo,Louisburgh,Ireland,Embarkation Point
Annaloughan Loop,http://www.irishtrails.ie/Trail/Annaloughan-loop/488/,+353(0)429352111,350,233,2,285,12,-6.186023506,54.03790008,Louth,Jenkinstown,Republic of Ireland,"Walking,Natural Landscape"
Horn Head,,,379,171,2,285,12,-7.9588786,55.212163,Donegal,Dunfanaghy,Ireland,Discovery Point
Kayaking.ie,http://www.kayaking.ie,3.54E+11,496,405,2,285,12,-6.093727731,53.27486714,Dublin,Dalkey,Ireland,"Kayaking,Activity Operator,River,Discovery Point,Boat,Tour"
Swords Museum  and Fingal Genealogy,http://www.swordsheritage.com,35318400080,282,292,4,284,7,-6.2181267,53.4627797,Dublin,Swords,Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction"
The Garden of Re-Imagination,https://twogreenshoots.com,3.54E+11,240,384,1,283,4,-9.5685205,51.7773885,Cork,,Ireland,"Food and Drink,Restaurant,Gardens,Garden,Artisan,Local Produce,Vegan,Vegetarian"
The Sensory Gardens,,+353(0)578731325,351,199,2,283,4,-7.346580271,52.91530961,Laois,Abbeyleix,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Carrowkeel Megalithic Site,http://www.megalithicireland.com/Carrowkeel%20home.htm,,413,180,5,282,12,-8.387667137,54.07453456,Sligo,Carrowkeel,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Zoological Museum,http://www.tcd.ie/Zoology/museum/,+353(0)18961366,472,109,1,282,9,-6.251858,53.343181,Dublin,,Ireland,"Learning,Museums and Attraction,Food Shops,Shopping"
Mollie Moo’s Pet Farm,https://molliemoos.ie/,3.54E+11,33,371,5,281,4,-7.37065,53.4699713,Westmeath,Mullingar,Ireland,Visitor Farm
Áras Inis Gluaire,http://arasinisgluaire.ie/main/,+353(0)9781079,187,450,5,281,9,-9.988932505,54.22246655,Mayo,Belmullet,Republic of Ireland,"Craft,Shopping,Learning,Movies,Cinema,Venue,Art Gallery,Music,Cafe,Food and Drink"
Waterloo Round Tower,http://www.irishstones.org/place.aspx?p=1232,,113,159,5,280,9,-8.573712,51.954691,Cork,Blarney,Republic of Ireland,Historic Houses and Castle
Red Abbey,http://www.corkpastandpresent.ie/mapsimages/corkphotographs/corkcameraclubhistoricalphotos/redabbeystreet/,3.53E+11,163,368,4,280,10,-8.4723587,51.8940883,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Shelmalier Forth Mountain,,+353(0)539239400,200,388,5,280,5,-6.573049286,52.31663311,Wexford,Barntown,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
James Connolly,http://www.talkingstatuesdublin.ie/statues/connolly/,,36,402,1,279,7,-6.254645628,53.34874522,Dublin,,Ireland,"Public Sculpture,Talking Statue"
Donaghpatrick Church,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/donaghpatrick-church,,462,321,2,279,7,-6.7595492,53.6965617,Meath,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Pearse Street Library,http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-public-libraries-and-archive-locations-hours-19,+353(0)16744888,479,116,2,279,8,-6.245275,53.343092,Dublin,Dublin City,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Literary Ireland,Cafe,Food and Drink"
Maynooth Ecclesiastical Museum,http://museum.maynoothcollege.ie,3.54E+11,284,477,3,278,9,-6.5981017,53.3786106,Kildare,Maynooth,Ireland,Museums and Attraction
River Inny,http://www.fishinginireland.info,35318842600,35,275,5,277,9,-7.323131051,53.66843186,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
Charles Stewart Parnell,,,267,194,5,277,4,-6.262251,53.353723,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Clahane,,,364,241,5,277,3,-9.423185,52.9326516,Clare,Liscannor,Ireland,Discovery Point
Dún An Óir,"http://www.megalithicireland.com/Dun%20an%20Oir,%20Smerwick.html",,72,117,3,276,4,-10.4149455,52.1901965,Kerry,Smerwick,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Arthur Wellesley Duke Of Wellington,http://www.visitdublin.com,+353(0)16057700,193,314,2,276,12,-6.303231,53.349086,Dublin,Phoenix Park,Republic of Ireland,Public Sculpture
Castlelyons Dominican Friary,http://irishantiquities.bravehost.com/cork/castlelyons/castlelyons.html,,341,390,3,276,8,-8.2335,52.089393,Cork,Castlelyons,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Doe Castle View,,,196,437,3,275,11,-7.8514212,55.128775,Donegal,,Ireland,Discovery Point
Inishbiggle - Gubnadoogha Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Gubnadoogha-Loop/494/,,307,352,1,275,3,-9.908755107,53.99601459,Mayo,Ballycroy,Republic of Ireland,"Walking,Island,Offshore Island"
Cross Strand Beach,http://www.cleancoastsireland.org/,,371,221,3,275,3,-9.909850128,53.71633236,Mayo,Louisburgh,Ireland,"Surfing,Activity Operator,Beach"
The Emigrant Trail,http://www.heritageisland.com/attractions/kennedy-homestead-and-emigrant-trail,35351388264,345,361,3,272,4,-6.947598722,52.39361615,Wexford,New Ross,Ireland,Museums and Attraction
The Round Tower Clondalkin,http://theroundtower.ie,+353(0)15554648,478,492,3,271,6,-6.39537391,53.32208417,Dublin,Clondalkin,Ireland,"Covid Safety Charter,Learning,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink,Vegan,Restaurant,Vegetarian,Food Shops,Shopping,Tour"
Carrowtemple,http://www.earlychristianireland.net/Counties/sligo/carrowtemple,3.54E+11,325,121,2,270,4,-8.517817239,53.98433101,Sligo,Gurteen,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Garnish Beach,,,393,164,5,270,12,-10.132944,51.6148523,Cork,,Ireland,Beach
Kildemock Jumping Church,http://www.louthholidays.com,3.53E+11,495,317,3,270,5,-6.518018,53.831371,Louth,Ardee,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Woodstown Beach,,,174,358,1,269,4,-6.983563056,52.19287649,Waterford,Woodstown,Republic of Ireland,Beach
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,15,239,3,268,3,-7.284483484,52.73116958,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,28,392,5,268,6,-9.106741,52.3839379,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
Kilpatrick Beach,,,175,358,2,268,7,-6.151020144,52.72790513,Wexford,Castletown,Republic of Ireland,Beach
Mossfield Organic Farm,http://www.mossfield.ie,3.54E+11,244,369,3,268,10,-7.8005629,53.060734,Offaly,,Ireland,Visitor Farm
Belcarra Eviction Cottage,http://www.museumsofmayo.com/eviction-cottage/eviction-cottage-belcarra.html,3.54E+11,18,241,4,267,10,-9.2190281,53.8129006,Mayo,Castlebar,Ireland,Museums and Attraction
The Manor Gardens,https://www.discoverireland.ie/Arts-Culture-Heritage/the-manor-gardens/48219,,27,256,2,267,11,-9.057847354,51.68778695,Cork,Dunmanway,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Lassanroe Garden,https://www.discoverireland.ie/Arts-Culture-Heritage/lassanroe-garden/71154,3532822563,101,122,5,267,5,-9.311018382,51.58731379,Cork,Skibbereen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Carlingford Castle,https://carlingfordheritagecentre.com/portfolio/king-johns-castle/,3.53E+11,286,253,1,267,12,-6.1868336,54.0432392,Louth,Carlingford,Ireland,"Castle,Historic Houses and Castle,Ruins"
Dublin Falconry,https://www.dublinfalconry.ie/,+353(0)876341574,367,185,5,267,3,-6.4222378,53.3794206,Dublin,Castleknock,Ireland,"Falconry,Nature and Wildlife,Learning,Activity Operator,Castle,Historic Houses and Castle,Cafe,Food and Drink"
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,23,463,1,266,10,-9.990732595,53.96261007,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Bá Fhionntrá (Fintragh Bay),,,108,389,4,266,7,-8.4882206,54.635294,Donegal,,Ireland,Discovery Point
Bective Abbey,http://monastic.ie/history/bective-cistercian-abbey,,125,405,5,266,7,-6.7028943,53.5824741,Meath,Ballina,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,3.54E+11,127,123,2,266,11,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Martina Furlong - Artists Studio Gallery,https://www.martinafurlong.com/,3.54E+11,183,449,5,266,4,-6.4063611,52.498219,Wexford,Gorey,Ireland,"Craft,Shopping,Art Gallery"
Clare Abbey,http://monastic.ie/history/clare-augustinian-abbey,3.54E+11,507,378,1,266,3,-8.9689595,52.8290238,Clare,Ennis,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ireland Writing Retreat Donegal,https://www.irelandwritingretreat.com,3.54E+11,1,448,3,265,6,-8.232854867,55.05149629,Donegal,Gweedore,Ireland,"Learning,Activity Operator,Literary Ireland"
City Highlights Walking Tour- Dublin,http://sightwalkingdublin.com/,+353(0)862002480,95,282,1,265,11,-6.2604903,53.3396625,Dublin,,Ireland,"Gaa,Walking,Activity Operator,Tour"
Killiney  Hill,http://www.dlrcoco.ie/parks/killiney.html,+353(0)12047275,106,153,3,265,8,-6.107273729,53.2703464,Dublin,Killiney,Ireland,"Photography,Learning,Walking,Natural Landscape,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Edmund Burke,http://www.visitdublin.com,+353(0)16057700,181,428,1,265,4,-6.261219,53.344479,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Tour"
South Mayo Family Research Centre,http://www.mayo.irishroots.net/,3.54E+11,252,181,2,265,4,-9.222428,53.623485,Mayo,Ballinrobe,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Cé an Bhuna Bhig (Bunbeg Harbour),,,499,211,1,265,11,-8.3093977,55.057756,Donegal,Bunbeg,Ireland,Embarkation Point
Windgap Village Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,380,317,3,264,5,-7.398741817,52.46414155,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Mick The Miller Monument,http://www.mickthemiller.com/,3.54E+11,430,494,5,264,7,-7.449883629,53.2139092,Offaly,Killeigh,Ireland,Public Sculpture
Fahan Beehive Huts,http://www.ancientireland.org/fahan,3.54E+11,494,317,4,264,8,-10.421536,52.1016785,Kerry,Fahan,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,+353(0)494331942,189,139,4,263,3,-6.792601382,53.91922203,Cavan,Kingscourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Lisfanon Beach,,,433,150,4,263,6,-7.4785137,55.098802,Donegal,Buncrana,Ireland,Discovery Point
Annagh Church,,3.54E+11,8,263,1,262,10,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kerry International Dark-Sky Reserve,http://www.kerrydarkskytourism.com/,+353(0)877845688,59,409,2,262,12,-10.09249034,52.02430573,Kerry,,Ireland,"Learning,Photography,Natural Landscape"
Temple Cronan Early Christian Church,,3.54E+11,154,169,4,262,8,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballinastoe Slí,http://trails.ie/map.php?keyword=ballinastoe,,253,176,2,262,9,-6.226409,53.1092776,Wicklow,Roundwood,Ireland,"Walking,Natural Landscape,Public Park,Nature and Wildlife"
Keel Uphill Downhill Loop,http://irishtrails.ie/Trail/Keel-Uphill-Downhill-Loop-Walk/666/,,352,484,4,262,6,-9.756397046,52.17636808,Kerry,Castlemaine,Ireland,"Walking,Natural Landscape"
Swords Round Tower & Belfry,http://swords.dublin.anglican.org,+353(0)18956747,461,123,4,262,12,-6.2244591,53.4576831,Dublin,Swords,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Granuaile Visitor Centre,https://www.irishtourist.com/things-to-do/granuaile-visitor-centre,3539866341,44,307,3,261,5,-9.809611,53.763985,Mayo,Louisburgh,Republic of Ireland,Museums and Attraction
Henry Grattan,,,224,327,3,261,8,-6.260889,53.34435,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Emlagh Loop,http://www.irishtrails.ie/trail/Emlagh-Loop/685/,,251,231,2,261,9,-10.27308976,51.82468114,Kerry,,Ireland,"Walking,Beach,Natural Landscape"
Macalla Farm,https://macallafarm.ie,3.54E+11,337,133,5,261,11,-9.9754118,53.816232,Mayo,,Ireland,"Food and Drink,Restaurant,Learning,Activity Operator,Island,Offshore Island,Artisan,Local Produce,Vegan,Vegetarian"
Knappogue Medieval Castle Banquet,http://www.knappoguecastle.ie/medieval-banquet/?_ga=2.37412192.1525066531.1579781977-34006099.1579781977,35366711222,463,313,2,261,11,-8.8319382,52.7939498,Clare,Quin,Ireland,"Food and Drink,Restaurant,Activity Operator,Castle,Historic Houses and Castle,Traditionally Irish"
Maynooth Campus Conference & Accommodation,http://www.maynoothcampus.com,+353(0)17086400,153,162,3,260,9,-6.592757857,53.37649551,Kildare,Maynooth,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink"
Kilnaboy Medieval Church and Round Tower,,3.54E+11,255,177,2,260,4,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Balrath Wood,,+353(0)18358022,316,494,3,260,5,-6.952315923,53.70557053,Meath,Balrath,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Molly Loop,http://www.irishtrails.ie/trails.aspx?c=Louth,,470,172,1,260,6,-6.187984268,54.04327358,Louth,Grange,Ireland,"Walking,Natural Landscape"
Titanic Experience Cobh,http://www.titanicexperiencecobh.ie,3.53E+11,473,412,1,260,8,-8.2947994,51.8499294,Cork,Kilgarvan,Ireland,"Covid Safety Charter,Historic Houses and Castle,Museums and Attraction,Food Shops,Shopping,Tour"
Ballybunion North Beach,https://www.blueflag.global/show-site?siteId=6641,3.54E+11,148,338,2,258,12,-9.681072438,52.50507167,Kerry,Ballybunion,Republic of Ireland,Beach
Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194249,107,284,4,257,10,-6.254129,53.339374,Dublin,,Republic of Ireland,"Historic Houses and Castle,Tour"
Ballinastoe and Lower Vartry Reservoir Slí na Sláinte,http://www.irishheart.ie/iopen24/walking-routes-t-8_197_200_208_210.html,,290,144,5,257,10,-6.202243035,53.091233,Wicklow,Roundwood,Ireland,"Walking,Natural Landscape"
Youghal Heritage Centre,https://youghal.ie/organisation/youghal-heritage-centre/,3532420170,445,176,2,257,4,-7.845717,51.953087,Cork,Youghal,Republic of Ireland,"Museums and Attraction,Food Shops,Shopping"
Ardmulchan Church,"http://www.megalithicireland.com/Ardmulchan%20Church,%20Meath.html",,192,106,1,256,12,-6.628602,53.6718102,Meath,Kells,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Clasac,http://www.clasac.ie,+353(0)18363060,100,120,2,255,3,-6.230766,53.360651,Dublin,Clontarf,Republic of Ireland,"Learning,Museums and Attraction,Traditionally Irish,Venue,Music,Food Shops,Shopping"
Cionn Mhucrois (Muckros Head),,,177,228,5,255,7,-8.5899407,54.617378,Donegal,Kilcar,Ireland,Discovery Point
Rattoo Round Tower,https://www.gokerry.ie/rattoo-round-tower/,,320,414,5,255,5,-9.650194,52.4426651,Kerry,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Father Murphy Centre,https://www.facebook.com/Fr-Murphy-Centre-Boolavogue-315611758499163,3.54E+11,151,222,2,254,12,-6.4107808,52.5485902,Wexford,Boolavogue,Ireland,Museums and Attraction
Ballymote Castle,http://www.megalithicireland.com/Ballymote%20Castle.html,,411,280,3,254,8,-8.5197245,54.087625,Sligo,Ballymote,Ireland,"Castle,Historic Houses and Castle"
Derrymore Beach,,+353(0)667121288,76,267,2,253,8,-9.842923401,52.24068427,Kerry,Derrymore,Republic of Ireland,Beach
Garryvoe Beach,https://www.ringofcork.ie/listings/garryvoe-beach/,+353(0)214613432,115,137,1,253,8,-7.99973,51.865968,Cork,Garryvoe,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Broadford Ashford Walking Trails - Killagholehane Way,http://walkbroadfordashford.com/trail/killagholehane-way/,,412,320,5,253,3,-8.972707,52.346003,Limerick,Broadford,Ireland,"Walking,Ruins,Historic Houses and Castle"
Tourin House & Gardens,http://tourin.ie/,3535854405,534,396,1,253,6,-7.8641684,52.1202193,Waterford,Cappoquin,Ireland,"Historic Houses and Castle,Gardens,Garden"
Kissane Sheep Farm,https://www.kissanesheepfarm.com/,3.54E+11,214,214,3,252,8,-9.6325947,51.9486423,Kerry,,Ireland,"Agriculture,Nature and Wildlife,Visitor Farm,Tour"
