Name,Url,Telephone,Location,Investment (1000 Euros),Ci,Cap ,Demand ,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Mallow Castle,https://www.castles.nl/mallow-castle,3.54E+11,453,160,2,252,7,-8.6390052,52.1338549,Cork,Mallow,Ireland,"Castle,Historic Houses and Castle"
Daniel O'Connell - Fidelity - O'Connell Monument,http://www.talkingstatuesdublin.ie/statues/fidelity/,,274,200,4,251,5,-6.259333434,53.34770323,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Talking Statue"
Ballybeg Augustinian Priory,https://buttevantheritage.ie/poi/ballybeg-priory/,,332,107,1,251,3,-8.6698297,52.2195337,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carrowteige - Children of Lir Loop,http://www.irishtrails.ie/Trail/Carrowteige--Children-of-Lir--Loop/141/,,105,237,1,250,4,-9.813638063,54.31261173,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Clonohill Gardens,https://www.gardensofireland.org/directory/31/,3.54E+11,60,226,1,248,5,-7.625490356,52.98564781,Laois,Coolrain,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Mornington Garden,http://dalkeygardenschool.com,+353(0)872256365,271,351,1,248,9,-6.1132572,53.2717553,Dublin,Mornington,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ardmore Round Tower And Cathedral,http://roundtowers.org/ardmore/index1.htm,,406,163,3,248,5,-7.72603896,51.94868846,Waterford,Ardmore,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Tullylease Church And Cross Slabs,http://www.irishstones.org/place.aspx?p=861&i=12,,247,100,3,247,8,-8.9402469,52.316655,Cork,Tullylease,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Killagholehane Cemetery and Church,https://www.limerick.ie/discover/eat-see-do/history-heritage/churches-settlements/killagholehane-cemetery-and-church-ruin,35361396255,512,403,2,247,7,-8.979017,52.331277,Limerick,Broadford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Irish Theatre Summer School,http://www.gaietyschool.com,+353(0)16799277,54,243,2,246,4,-6.26073,53.3464,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Activity Operator,Literary Ireland"
The Donegal Gaeltacht,,,165,136,1,246,7,-8.1107141,54.654487,Donegal,Glencolmcille,Ireland,Natural Landscape
Merry Ploughboy Pub Traditional Nights,http://www.mpbpub.com,35314931495,497,320,1,245,12,-6.2968957,53.2641499,Dublin,Rathfarnham,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Activity Operator,Historic Houses and Castle,Traditionally Irish,Venue,Music,Local Produce,Pubs and Bar,Food Shops,Shopping"
Merrion Square,,+353(0)16612369,501,234,3,245,9,-6.25002,53.3388,Dublin,,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Jonathan Swift,,+353(0)16057700,11,161,3,244,4,-6.259186343,53.34465008,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
James Clarence Mangan,http://www.visitdublin.com,+353(0)16057700,294,273,2,244,12,-6.259664,53.338458,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Literary Ireland"
St Columba's Church,,,279,395,2,242,11,-6.879699,53.72754,Meath,Kells,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Royal Irish Academy,http://www.ria.ie,+353(0)16762570,493,164,2,242,6,-6.258085,53.340716,Dublin,Dublin City Centre,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction"
Kyrie Eleison Abbey,http://homepage.tinet.ie/~abbeydorney/Kyrieeleisonpictures.html,,382,238,4,241,11,-9.6871592,52.3534185,Kerry,Abbeydorney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Tullahought Kilmacoliver Loop Walk,http://www.trailkilkenny.ie,,112,426,4,240,11,-7.373104348,52.42256284,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Carlow Courthouse,http://www.igp-web.com/Carlow/courthouse.htm,,310,439,1,240,12,-6.931212085,52.83821114,Carlow,,Republic of Ireland,"Castle,Historic Houses and Castle"
Tramline Loop,https://visithowth.ie/the-tramline-loop/,35318323347,520,312,5,240,10,-6.066380923,53.38800343,Dublin,Howth,Republic of Ireland,"Walking,Natural Landscape,Public Park,Nature and Wildlife"
Burren Art & Craft Fair,https://www.facebook.com/burrencrafts,3.54E+11,131,394,3,239,8,-9.150688235,53.11695957,Clare,Ballyvaughan,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Castlemorris Wood - Holly Loop,http://www.irishtrails.ie/Trail/Castlemorris---Holly-loop/120/,,234,190,2,239,11,-7.27840948,52.47060617,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Kilkieran High Cross,http://www.megalithicireland.com/High%20Cross%20Kilkieran.htm,3.54E+11,215,130,1,237,7,-7.3808278,52.39794,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Irish Dance Party,http://irishdanceparty.com,3.54E+11,236,102,1,237,12,-6.2548351,53.3507932,Dublin,Dublin,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Activity Operator,Historic Houses and Castle,Traditionally Irish,Venue,Music,Local Produce,Pubs and Bar,Food Shops,Shopping"
Whiskey Island - Dublin Distillery Trail,https://www.whiskeyisland.ie/dublin-distillery-trail/,35316877747,327,207,1,237,11,-6.2595459,53.3442059,Dublin,Dublin,Ireland,"Activity Operator,Museums and Attraction"
JJ Corry Irish Whiskey Experience,https://www.chapelgatewhiskey.com,3.54E+11,498,352,2,237,7,-9.4353561,52.6770232,Clare,,Ireland,"Museums and Attraction,Tour"
Hill of Slane,,3.53E+11,123,351,1,236,5,-6.5401217,53.7176713,Meath,Slane,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Abbey Road Gardens,https://www.facebook.com/waterfordgardentrail/,3.54E+11,137,215,1,235,10,-7.102184,52.264196,Waterford,Ferrybank,Republic of Ireland,"Gardens,Garden"
Market House Design,https://www.craftinireland.com/events/details/market-house-design,3.54E+11,355,337,3,235,5,-6.2948238,52.6756109,Wexford,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Monksgrange Garden & Norman Gallery,http://www.monksgrangegarden.com,3.54E+11,147,153,3,234,8,-6.7837777,52.5178443,Wexford,,Ireland,"Walking,Gardens,Garden"
Quin Abbey,https://www.clare.ie/do/quin-abbey/,35391844084,285,230,3,234,9,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Clonfert Cathedral,http://www.megalithicireland.com/Clonfert%20Cathedral.html,,527,385,2,234,12,-8.0583679,53.2406887,Galway,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ros Goill (Rossguill Peninsula),,,146,359,2,233,6,-7.8449062,55.227669,Donegal,Downings,Ireland,Discovery Point
Leinster House,http://www.oireachtas.ie/parliament/visitsevents/,+353(0)16183271,158,279,3,233,12,-6.254252,53.340122,Dublin,Dublin City,Republic of Ireland,"Historic Houses and Castle,Tour"
Knockdrinna Farmhouse Cheese,http://www.knockdrinna.com/,3.54E+11,264,453,5,233,6,-7.2282304,52.5364101,Kilkenny,Stoneyford,Ireland,"Food and Drink,Agriculture,Nature and Wildlife,Restaurant,Learning,Shopping,Visitor Farm,Artisan,Cafe,Local Produce,Activity Operator"
An Chonair (Conor Pass),,,505,382,3,233,12,-10.207747,52.181771,Kerry,Dingle Peninsula,Ireland,Discovery Point
Tolka Valley Park,,+353(0)18905629,521,235,5,233,6,-6.384194116,53.39496052,Dublin,Blanchardstown,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Inishbofin Heritage Museum & Gift Shop,https://www.facebook.com/InishbofinHeritageMuseum,3.54E+11,62,204,3,232,3,-10.206749,53.613395,Galway,Inishbofin,Ireland,Museums and Attraction
The James Joyce Centre,http://www.jamesjoyce.ie,+353(0)18788547,248,199,3,232,8,-6.259988,53.354157,Dublin,,Republic of Ireland,"Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Shopping,Tour,Walking"
Rathgall Stone Fort,,,281,373,2,232,3,-6.663035,52.8022318,Wicklow,,Ireland,"Ruins,Historic Houses and Castle"
Clogher Castle,https://www.cloghancastle.ie,3.54E+11,329,272,1,232,9,-8.51182,53.9373,Sligo,Monasteraden,Republic of Ireland,"Castle,Historic Houses and Castle"
Marlay Demesne,http://www.dlrcoco.ie/en/parks-outdoors/parks/marlay-park,+353(0)12054700,532,377,3,232,9,-6.27569,53.2796,Dublin,Rathfarnham,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping,Tour"
Easkey Pier,,,476,421,3,231,11,-8.957322847,54.29391877,Sligo,Easkey,Ireland,Discovery Point
Tory Hill - Frochans Loop,http://www.trailkilkenny.ie,,160,232,2,230,3,-7.17550686,52.36787812,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
Irish Jewish Museum,http://www.jewishmuseum.ie/,+353(0)14531797,298,437,2,230,11,-6.269414,53.330748,Dublin,South Circular Road,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction,Tour"
City Assembly House,http://www.igs.ie/conservation/project/city-assembly-house-a-history,+353(0)16798675,488,218,2,230,7,-6.2624532,53.34199229,Dublin,,Ireland,"Craft,Shopping,Historic Houses and Castle,Art Gallery,Museums and Attraction,Food Shops"
Inishcrone Pier (Enniscrone Pier),,,92,134,3,229,9,-9.096038,54.220128,Sligo,Enniscrone,Ireland,Discovery Point
Rare and Recent Books,https://www.rareandrecent.com/,3.54E+11,362,417,1,229,7,-9.286348,53.5413688,Mayo,,Ireland,"Shopping,Shopping Centres and Department Store,Literary Ireland,Food Shops"
Oldbawn (Newtown) Beach,,,359,275,2,228,8,-6.2006641,52.5530469,,,Ireland,Beach
Mooghaun Bronze Age Hillfort,,,261,237,2,227,9,-8.8792287,52.7821867,Clare,,Ireland,Museums and Attraction
St. Luke's Church,http://www.liveatstlukes.com/,,287,162,3,226,6,-8.457078,51.904255,Cork,Cork City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Venue,Music"
Glascarrig Beach,,,519,337,3,226,8,-6.204060286,52.58147885,Wexford,Cahore,Republic of Ireland,Beach
Jenkinstown Wood - Walled Garden Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Walled-Garden-loop/124/,,300,347,1,225,6,-7.289804987,52.73050689,Kilkenny,Jenkinstown,Ireland,"Walking,Gardens,Garden,Natural Landscape"
Ballyhugh Art and Culture Centre Painting,http://homepage.eircom.net/~ballyhugh,3.54E+11,448,437,5,225,3,-7.583964736,54.11607379,Cavan,Ballyconnell,Republic of Ireland,"Craft,Shopping,Learning,Art Gallery,Activity Operator"
National College Of Art And Design,http://www.ncad.ie,+353(0)16364200,459,324,3,225,11,-6.253916569,53.3409606,Dublin,Dublin City Centre,Republic of Ireland,"Craft,Shopping,Learning,Photography,Activity Operator,Art Gallery,Cafe,Food and Drink"
Aultaghreagh Cottage Garden,http://www.aultaghreaghcottagegarden.com,3.53E+11,273,180,2,224,12,-9.083913637,51.77792113,Cork,Dunmanway,Republic of Ireland,"Walking,Gardens,Garden"
Croppies Grave,http://www.igp-web.com/Carlow/croppies_graves.htm,,456,383,4,224,8,-6.9391607,52.8389539,Carlow,,Ireland,Public Sculpture
Coolmelagh - Prospect Loop,http://www.irishtrails.ie/Trail/Coolmelagh---Prospect-Loop/427/,,469,138,2,224,7,-6.580390652,52.68619666,Wexford,Bunclody,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Ballynacourty Gardens,https://www.limerick.ie/discover/eat-see-do/nature-wildlife/gardens/ballynacourty-gardens,35361396409,368,291,4,223,9,-8.935327,52.643399,Limerick,Ballysteen,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Freemasons Hall,http://freemason.ie/,+353(0)16761337,268,241,1,222,5,-6.255966,53.34108,Dublin,,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction,Food Shops,Shopping,Tour"
Oscar Wilde,http://www.talkingstatuesdublin.ie/statues/oscar/,,460,152,2,222,12,-6.250583758,53.34083824,Dublin,,Ireland,"Public Sculpture,Talking Statue,Literary Ireland"
Dodd's Rock Beach,,,37,371,4,221,7,-6.213459105,52.663357,Wexford,Courtown,Republic of Ireland,"Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Ballindoon Abbey,http://www.megalithicireland.com/Ballindoon%20Priory.html,3.54E+11,239,154,2,220,8,-8.323266467,54.08492133,Sligo,Ballymote,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Dublin Art Life,http://dublinartlife.com,,67,466,1,219,7,-6.2603097,53.3498053,Dublin,Dublin City,Republic of Ireland,"Art Gallery,Museums and Attraction"
Stradbally Medieval Church,,3535841741,71,149,5,219,10,-7.460793487,52.13043387,Waterford,Stradbally,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Inis Mór (Inishmore) Seaport,,,297,407,5,219,5,-9.719242279,53.13713245,Galway,Aran Islands,Ireland,"Restaurant,Bird Watching,Nature and Wildlife,Cycling,Shopping,Shopping Centres and Department Store,Swimming,Swimming Pools and Water Park,Venue,Walking,Discovery Point,Island,Offshore Island,Local Produce,Food and Drink,Pubs and Bar"
Ballinamuck Bog Loop,http://www.irishtrails.ie/Trail/Ballinamuck---Bog-Walk/139/,,365,458,2,219,12,-7.717482949,53.86680946,Longford,Ballinamuck,Ireland,"Walking,Natural Landscape"
Fawnglass Loop,https://www.irishtrails.ie/trail/Clare-Island---Fawnglass-loop/143/,,14,376,5,218,9,-9.988141954,53.79245548,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Wexford Garden Trail,http://www.wexfordgardentrail.com,,208,431,2,218,7,-6.992454254,52.29638937,Wexford,,Ireland,"Gardening,Nature and Wildlife,Walking,Gardens,Garden"
Patrick Kavanagh,,,229,294,3,218,10,-6.2475417,53.3336867,Dublin,,Ireland,"Public Sculpture,Literary Ireland"
Glebe Gardens,http://www.glebegardens.com,3532820579,421,254,4,218,11,-9.361088,51.484541,Cork,Baltimore,Ireland,"Walking,Gardens,Garden"
Cé Ailt an Chorráin (Burtonport Harbour),,,429,243,2,218,5,-8.4413892,54.983318,Donegal,Burtonport,Ireland,Embarkation Point
Duleek Abbey,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/duleek-abbey,3.53E+11,63,456,2,217,4,-6.4221752,53.6547501,Meath,Duleek,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Old Cork Waterworks Experience,http://www.lifetimelab.ie,3.53E+11,188,173,2,216,9,-8.5092931,51.895023,Cork,,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink"
O'Reilly Theatre,http://www.oreillytheatre.com,+353(0)1858 6690,288,159,5,216,3,-6.262116,53.35551,Dublin,,Republic of Ireland,"Literary Ireland,Venue,Music,Food Shops,Shopping"
James Joyce House of the Dead,http://www.jamesjoycehouse.ie,,346,298,2,216,3,-6.282819,53.34629,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Literary Ireland"
Kenmare River View,,,372,202,5,216,11,-9.9850622,51.725184,Cork,Ardgroom,Ireland,Discovery Point
Augustinian Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Augustinian%20Abbey,%20Tipperary.html",,414,237,1,216,12,-8.121999159,53.08941392,Tipperary,Lorrha,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Fionn MacCool Loop,http://www.irishtrails.ie/Trail/Fionn-MacCool-Loop---Bonane-Beara/473/,,81,117,4,215,4,-9.536642639,51.81601273,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
National Archives of Ireland,http://www.nationalarchives.ie,35314072300,194,256,5,215,8,-6.268747,53.338802,Dublin,Dublin City,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction"
Drumkeerin Heritage Centre,,3.54E+11,246,398,1,215,5,-8.147950078,54.17060467,Leitrim,,Republic of Ireland,Visitor Farm
Foynes Island - Viewpoint,,,506,272,1,215,6,-9.11306,52.613836,Limerick,Foynes,Ireland,Discovery Point
Bishop's Quarter ,,,83,408,2,214,10,-9.127942,53.1291281,Clare,Ballyvaughan,Ireland,"Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
Dromana House Gardens,https://dromanahouse.com,3532496144,213,318,2,214,6,-7.8651795,52.1075711,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Tour"
The Back Lane Pop Up Gallery,http://thebacklanegallery.blogspot.com/,3.54E+11,541,328,1,214,9,-9.5062927,52.0589956,Kerry,Killarney,Ireland,"Craft,Shopping,Art Gallery"
Spanish Point,,,4,427,5,213,7,-9.432739,52.842867,Clare,Spanish Point,Ireland,Discovery Point
Shannon-Erne Waterway Ballinamore,http://www.waterwaysireland.org/places-to-go/shannon-erne-waterway,+353(0)719644855,184,452,5,212,11,-7.804921955,54.05289061,Leitrim,Ballinamore,Republic of Ireland,"Fishing,Angling,River,Discovery Point,Boat,Tour"
Drumcliffe Round Tower And High Cross,http://www.megalithicireland.com/High%20Cross%20Drumcliffe.htm,,424,347,2,212,3,-8.4959115,54.3262835,Sligo,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Village At Wheelock’s,https://thevillageatwheelocks.ie,3.54E+11,491,121,2,212,9,-6.517368,52.508417,Wexford,Enniscorthy,Ireland,"Covid Safety Charter,Visitor Farm,Cafe,Food and Drink,Local Produce,Restaurant"
St. Patrick's Well Cross,,,515,256,5,212,11,-7.393276564,52.41607104,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Swords Castle,https://swordscastle.events/,+353(0)1840 0891,2,290,4,210,7,-6.220338,53.459928,Dublin,Swords,Republic of Ireland,"Historic Houses and Castle,Castle,Tour"
Cahore Beach ,,,64,144,1,210,8,-6.197159,52.5590215,Wexford,Cahore,Ireland,Beach
The Lace Gallery,http://www.thelacegallery.com,3.54E+11,168,134,3,210,5,-6.7364351,52.7535167,Carlow,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Urban Brewing,http://urbanbrewing.ie,+353(0)15685989,481,105,5,209,9,-6.248247449,53.34908681,Dublin,,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Museums and Attraction,Historic Houses and Castle,Local Produce,Pubs and Bar,Activity Operator,Food Shops,Shopping,Tour"
Dublin Writers Museum,http://www.writersmuseum.com,+353(0)18722077,10,358,4,208,11,-6.263985,53.354366,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Historic Houses and Castle,Museums and Attraction,Literary Ireland,Food Shops,Tour"
The Bay Garden,http://www.thebaygarden.com,3.54E+11,57,360,4,208,3,-6.443575,52.608613,Wexford,Camolin,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Teach Mhuiris,https://www.gaothdobhair.ie/en/tourist-attractions-gweedore/teach-mhuiris,3.54E+11,74,426,2,208,6,-8.292346461,55.07528477,Donegal,Derrybeg,Ireland,"Castle,Historic Houses and Castle"
Kenmare Heritage Centre,,3.54E+11,404,148,5,208,8,-9.584642,51.880807,Kerry,Kenmare,Republic of Ireland,Museums and Attraction
The Ballinglen Museum of Art,http://www.ballinglenartsfoundation.org,3539643184,77,104,2,207,5,-9.3722177,54.2797399,Mayo,Ballycastle,Ireland,"Craft,Shopping,Photography,Learning,Art Gallery,Museums and Attraction"
Sphere With Sphere,,+353(0)16082320,199,373,1,207,11,-6.261219,53.344479,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Croke Park Stadium,https://crokepark.ie/,35315821593,437,295,1,207,12,-6.252428,53.361245,Dublin,Dublin City,Republic of Ireland,"Restaurant,Gaa,Stadium,Sports Venue,Venue,Music,Sports Venues,Cafe,Food and Drink,Fast Food,Activity Operator,Food Shops,Shopping,Tour"
Ardamine Beach,,,477,328,5,207,9,-6.226382459,52.64386973,Wexford,Courtown,Republic of Ireland,Beach
Pure Skill,https://www.pureskill.ie,35391515510,504,116,1,207,4,-9.1005695,53.271107,Galway,,Ireland,"Gaa,Activity Operator"
Saltee Islands,http://www.salteeislands.info/,,276,132,4,206,7,-6.588815386,52.17249931,Wexford,Kilmore Quay,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Island,Offshore Island"
Foust Gallery,http://www.sarafoustartist.com,3.54E+11,312,262,3,206,8,-9.293533,52.9398625,Clare,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Books@One,https://www.booksatone.ie/,3539866885,418,134,2,206,8,-9.8098762,53.7626494,Mayo,Louisburgh,Ireland,"Shopping,Shopping Centres and Department Store,Literary Ireland,Cafe,Food and Drink,Food Shops"
The Hooker Brewery,http://www.galwayhooker.ie,3.54E+11,299,450,4,205,8,-8.92873146,53.2693066,Galway,Oranmore,Republic of Ireland,Museums and Attraction
Monicknew Trails,http://www.irishtrails.ie/Trail/Monicknew---Valley-Walk/256/,,334,447,5,205,6,-7.546328954,53.07598412,Laois,Clonaslee,Ireland,"Walking,Natural Landscape"
Tours Of The Government Buildings,http://www.taoiseach.gov.ie,+353(0)16194116,46,134,2,204,12,-6.25366,53.338393,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Tour"
North Tipperary Genealogy Centre,http://www.tipperarycoco.ie/heritage/genealogy-centre,3536733850,82,219,5,204,10,-8.200283933,52.86578066,Tipperary,Nenagh,Republic of Ireland,"Tracing Your Ancestors,Museums and Attraction"
Liss Ard Gardens,https://lissardestate.ie/,3532840000,323,448,1,204,8,-9.25326172,51.53755547,Cork,Skibbereen,Republic of Ireland,"Walking,Gardens,Garden"
Millennium Garden of Time,https://youghal.ie/,3532420769,390,121,4,204,4,-7.854440234,51.95124266,Cork,Youghal,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Leac an Scail  - Kilmogue dolmen - Harristown Dolmen,http://www.megalithicireland.com/Kilmogue%20Dolmen.htm,,400,187,5,204,11,-7.261723,52.402923,Kilkenny,Knocktopher,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Moygara Castle,http://www.loughgaralakesandlegends.ie/lough-gara/moygara-castle,3.54E+11,55,249,4,202,4,-8.4751904,53.9718301,Sligo,,Ireland,"Castle,Historic Houses and Castle"
Lislaughtin Franciscan Friary,,3.54E+11,203,295,4,202,7,-9.47861,52.547334,Kerry,Ballylongford,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Kennedy's All-Weather Pet Farm & Playgrounds,http://kennedyspetfarm.com/,3.54E+11,396,269,4,202,3,-9.391947854,52.02963434,Kerry,Headford,Republic of Ireland,Visitor Farm
Isaac Butt Heritage Centre,https://www.facebook.com/isaacbuttheritagecommittee,3.54E+11,468,480,3,202,3,-7.9324749,54.8384012,Donegal,,Ireland,Museums and Attraction
Baginbun Beach,,,150,221,1,201,11,-6.929462,52.123762,Wexford,,Republic of Ireland,Beach
St. Moling's Trail - Driving Route,http://carlowtourism.com/,+353(0)599131554,328,167,5,201,10,-6.927646676,52.6008546,Carlow,,Ireland,"Activity Operator,Church Abbey,Monastery,Churches,Abbeys and Monastery,Historic Houses and Castle,Museums and Attraction,Ruins,Tour"
Jungle City,,,403,414,5,201,8,-8.89378084,51.62005311,Cork,Clonakilty,Ireland,Public Sculpture
St John's Cathedral Sligo,http://www.sligocathedral.elphin.anglican.org,3.54E+11,330,467,2,200,3,-8.478143,54.270235,Sligo,Sligo Town,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Shannon Dolphin and Wildlife Centre,http://www.shannondolphins.ie,3.54E+11,348,128,5,200,10,-9.4969951,52.6350948,Clare,Kilrush,Ireland,"Learning,Museums and Attraction"
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,20,266,3,199,6,-8.975399,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carrigaphooca Castle,https://www.castles.nl/carrigaphooca-castle,3532620544,452,488,3,199,7,-9.028399,51.908549,Cork,Macroom,Republic of Ireland,"Castle,Historic Houses and Castle"
Dublin Discovered Boat Tours,http://www.instagram.com/dublindiscovered,+353(0)14730000,500,381,4,199,7,-6.261545,53.34718,Dublin,,Republic of Ireland,"Covid Safety Charter,Activity Operator,River,Discovery Point,Boat,Tour"
Killary Monastic Site,,,51,283,2,198,10,-6.546373,53.707926,Meath,Slane,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Crafts of Ireland,http://craftsofireland.ie,3.54E+11,65,149,2,198,6,-7.0886528,53.785466,Cavan,Virginia,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Activity Operator,Art Gallery"
Wexford Town Library,http://www.wexford.ie/library,+353(0)539121637,98,120,3,198,9,-6.463811,52.342114,Wexford,Wexford Town,Republic of Ireland,Literary Ireland
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,171,102,1,197,3,-7.393333382,52.41253746,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Kilcock Art Gallery,https://kilcockartgallery.ie/,35316287619,313,177,2,197,10,-6.6682154,53.3998824,Kildare,,Ireland,"Craft,Shopping,Art Gallery"
Rinn Duin - Warren Point Loop,https://www.sportireland.ie/outdoors/walking/trails/rinn-duin-warren-point-loop?county=53&grade=402&length=All#list,3.54E+11,360,226,3,196,6,-7.996944291,53.54103449,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Arthur Griffith,,,381,314,5,196,10,-6.254252,53.340122,Dublin,,Republic of Ireland,Public Sculpture
Ionad an Bhlascaoid Mhóir,,,432,170,5,196,10,-10.4618,52.133076,Kerry,Dingle Peninsula,Ireland,Discovery Point
