Name,Url,Telephone,Location,Investment (1000 Euros),Ci,Cap ,Demand ,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
West Cork Heritage Centre,https://westcorkheritagecentre.com,3.53E+11,516,349,1,128,11,-8.7366366,51.7467306,Cork,Bandon,Ireland,Museums and Attraction
Monasterboice High Cross and Round Tower,https://www.visitlouth.ie/explore-and-do/explore-louth/sacred-sites-louth/monasterboice-high-cross-and-round-tower.html,3.53E+11,39,162,3,127,10,-6.4177232,53.7777634,Louth,,Ireland,"Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Tour"
The Butter Slip - Kilkenny,,,263,343,4,127,6,-7.252329391,52.65236152,Kilkenny,Kilkenny City,Ireland,Museums and Attraction
Ceann Sléibhe (Slea Head) Discovery Point,,,212,328,4,126,7,-10.4553373,52.1050217,Kerry,,Ireland,Discovery Point
Crew Brewing Company,https://www.crewbrewing.ie,,394,371,4,126,10,-8.6236997,52.6619598,Limerick,,Ireland,"Food and Drink,Learning,Museums and Attraction,Local Produce,Restaurant,Pubs and Bar"
Srón Bhroin (Brandon Point),,,523,491,5,126,12,-10.160739,52.287794,Kerry,Brandon,Ireland,Discovery Point
Fore Abbey,https://heritageireland.ie/visit/places-to-visit/fore-abbey/,3.53E+11,48,343,5,125,6,-7.227154,53.683924,Westmeath,Fore,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Cahervagliar Fort,http://www.coppeenheritage.com/archives/cahir/index.html,3532646078,259,246,2,125,8,-8.996941,51.792933,Cork,Coppeen,Republic of Ireland,"Ruins,Historic Houses and Castle"
Exchange Dublin,https://exchangedublin.ie/,,283,371,5,125,3,-6.268322263,53.34454746,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Activity Operator"
Bog of Frogs Trail,https://visithowth.ie/the-bog-of-frogs-trail/,35318323347,369,278,1,125,11,-6.066380923,53.38800343,Dublin,Howth,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Marina,Venue,Natural Landscape"
Garraí Fadó Garden,https://www.facebook.com/Garra%C3%AD-Fad%C3%B3-Garden-Beara-156532801063072,3532774844,295,401,5,124,9,-9.955257441,51.68546683,Cork,Eyeries,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden,Food Shops,Shopping"
Pearse Museum and St. Enda's Park,http://pearsemuseum.ie,+353(0)14934208,441,263,3,124,8,-6.281587822,53.28293774,Dublin,Rathfarnham,Republic of Ireland,"Covid Safety Charter,Walking,Historic Houses and Castle,Gardens,Garden,Museums and Attraction,Public Park,Nature and Wildlife,Cafe,Food and Drink,Tour"
Valentia Slate,https://www.facebook.com/ValentiaSlate/,3.54E+11,38,190,1,123,7,-10.3427468,51.9251401,Kerry,,Ireland,"Activity Operator,Natural Landscape,Tour"
Glasnevin Cemetery Museum,http://www.glasnevinmuseum.ie,35318826550,78,404,1,122,4,-6.2770874,53.37003,Dublin,Glasnevin,Ireland,"Walking,Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Public Sculpture,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Carrownisky Strand,,,130,343,4,122,3,-9.893226,53.735383,Mayo,Louisburgh,Ireland,Discovery Point
Leixlip Castle,http://intokildare.ie/listing/leixlip-castle,35316244430,292,486,4,122,10,-6.4906293,53.3620101,,,Ireland,"Agriculture,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Castle,Gardens,Garden,Tour"
Radharc na mBlascaoidí - Blaskets View,,,235,235,5,121,4,-10.455488,52.104973,Kerry,Dingle Peninsula,Ireland,Discovery Point
Ballyhist Garden,https://tipperary.com/listings/ballyhist-garden/,3.54E+11,139,399,4,120,11,-7.872028223,52.31529252,Tipperary,Ardfinnan,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Dominican Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Dominican%20Friary,%20Tipperary.html",,270,484,3,120,7,-8.1257745,53.0908735,Tipperary,Lorrha,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Parkavonear Castle,http://www.megalithicireland.com/Parkavonear%20Castle.html,3.54E+11,201,455,4,119,8,-9.5550062,52.0759354,Kerry,,Ireland,"Castle,Historic Houses and Castle"
Roney Point Beach,,,480,166,2,119,6,-6.211656302,52.59954632,Wexford,Courtown,Republic of Ireland,Beach
Kanturk Castle,https://www.castles.nl/kanturk-castle,3.53E+11,24,313,3,118,10,-8.9027299,52.164382,Cork,Banteer,Ireland,"Castle,Historic Houses and Castle"
Carlow Castle,https://carlowtourism.com/carlow-castle-2,3.54E+11,218,292,5,117,4,-6.935935,52.8362564,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Knockroe Passage Tomb,http://www.megalithicireland.com/Knockroe%20Passage%20Tomb.html,,289,218,1,117,4,-7.3995595,52.4319092,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardgillan Demesne,http://www.facebook.com/ardgillancastle,+353(0)18492212,442,135,5,117,4,-6.159029692,53.58716314,Dublin,Balbriggan,Republic of Ireland,"Learning,Walking,Gardens,Garden,Historic Houses and Castle,Public Park,Nature and Wildlife,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Ballinafad Castle,http://www.megalithicireland.com/Ballinafad%20Castle.html,,502,424,3,117,4,-8.335818,54.0259909,Sligo,Ballinafad,Ireland,"Castle,Historic Houses and Castle"
Lackagh Museum and Heritage Centre,https://www.lackaghmuseum.ie,3.54E+11,132,143,3,116,8,-8.8910537,53.3695037,Galway,,Ireland,"Covid Safety Charter,Museums and Attraction"
Isaac Butt,,,392,109,4,116,9,-6.253322,53.34998,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Garryhill House,https://www.buildingsofireland.ie/buildings-search/building/10301651/garryhill-house-garryhill-county-carlow,3.54E+11,291,357,4,115,10,-6.848067,52.678048,Carlow,Bagenalstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Ballylarkin Abbey Freshford - Ballylarkin Church,"http://www.megalithicireland.com/Ballylarkin%20Church,%20Kilkenny.html",,12,192,3,114,11,-7.427511,52.722887,,,,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
St. Werburgh's Church,,+353(0)14783710,266,181,3,114,8,-6.269412,53.342932,Dublin,Dublin,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Design Tower,http://thedesigntower.com/,,395,327,1,114,7,-6.239626,53.341925,Dublin,,Republic of Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Kilmichael Strand,,,446,269,5,114,7,-6.141523234,52.73541348,Wexford,Castletown,Republic of Ireland,Beach
Gurteen Beach,,,80,463,5,113,5,-9.960840282,53.37948911,Galway,Roundstone,Ireland,Beach
Howth Castle,http://howthcastle.ie,+353(0)18321027,222,332,2,113,9,-6.079225289,53.3865384,Dublin,Howth,Republic of Ireland,"Covid Safety Charter,Golf,Walking,Historic Houses and Castle,Castle"
Slieve Bloom Mountains,,,66,238,1,112,11,-7.5672222,53.0933333,Laois,,Ireland,"Walking,Natural Landscape"
Clash Gaelic Games,http://www.clash.ie,3.54E+11,443,368,1,112,4,-6.141688518,53.43744165,Dublin,Portmarnock,Ireland,"Gaa,Learning,Activity Operator"
Old Coastguard Station,http://www.jamescahill.com/coastguardstation.html,3.54E+11,525,196,2,112,11,-9.6208477,53.8213183,Mayo,,Ireland,Historic Houses and Castle
Inis Fraoigh (Inishfree Island),,,526,348,4,112,5,-8.44568,54.954042,Donegal,,Ireland,Discovery Point
Marblehill,,,21,208,5,111,3,-7.9019326,55.176389,Donegal,Dunfanaghy,Ireland,Discovery Point
Trá Oilí (Elly Beach),,,217,435,3,111,4,-10.086517,54.162316,Mayo,,Republic of Ireland,Discovery Point
Lusk Round Tower,https://www.heritageireland.ie/en/midlands-eastcoast/luskheritagecentre/,+353(0)18331618,293,198,5,111,4,-6.167107,53.526025,Dublin,Lusk,Republic of Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Celtic Plantarum Dundrum,https://www.garden.ie/gardenstosee/celtic-plantarum-dundrum/,3536271303,465,240,1,111,5,-8.04394294,52.5576255,Tipperary,Dundrum,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,155,361,5,110,5,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Camas Park Garden,https://www.tipperarytown.ie/see-and-do/camas-park-gardens,3.54E+11,258,230,3,110,4,-7.929296,52.53716,Tipperary,Cashel,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
The North Mayo Sculpture Trail,,+353(0)9845107,399,411,5,110,4,-9.163177101,54.12908908,Mayo,Ballina,Republic of Ireland,Public Sculpture
Angela's Ashes Walking Tour,https://www.limerick.ie/discover/eat-see-do/tours/angelas-ashes-walking-tours,+353(0)833000111,538,196,1,110,9,-8.62566,52.6653,Limerick,,Republic of Ireland,"Walking,Activity Operator,Literary Ireland,Tour"
Cappoquin House Gardens,https://www.cappoquinhouseandgardens.com,3535854290,89,147,5,109,3,-7.8503399,52.1494507,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden,Historic Houses and Castle,Tour"
Molly Malone,http://www.talkingstatuesdublin.ie/statues/molly-malone/,+353(0)16057700,303,239,1,109,5,-6.260949959,53.34373992,Dublin,Dublin,Republic of Ireland,"Public Sculpture,Talking Statue"
Garden Tours of Ireland,https://www.gardentoursofireland.com,35350454688,503,279,1,109,5,-7.9378116,52.6518532,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Activity Operator,Gardens,Garden,Tour"
Kilkenny Library Local Studies,http://kilkennylibrary.ie/eng/our_services/local_studies,+353(0)567794160,109,377,4,106,10,-7.246596988,52.65542983,Kilkenny,Kilkenny City,Republic of Ireland,"Learning,Tracing Your Ancestors,Literary Ireland"
"Old St Mary's Church, Clonmel",https://www.stmarysparishclonmel.ie/,3.53E+12,457,437,2,106,4,-7.7053964,52.3543347,Tipperary,Oldbridge,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Geokaun Mountain,,,216,227,5,105,8,-10.345704,51.922484,Kerry,Valentia Island,Ireland,Discovery Point
Tech Amergin,http://www.techamergin.com,3.54E+11,374,195,1,104,8,-10.172331,51.829585,Kerry,Waterville,Ireland,"Craft,Shopping,Learning,Movies,Cinema,Venue,Art Gallery"
Garfinny Bridge,https://dingle-peninsula.ie/component/zoo/item/garfinny-bridge.html,,6,139,1,103,7,-10.219193,52.140079,Kerry,Dingle,Republic of Ireland,Museums and Attraction
Salterbridge House Gardens,http://www.salterbridgehouseandgarden.com/,3535854952,129,340,2,103,4,-7.8804767,52.1489749,Waterford,Cappoquin,Ireland,"Walking,Gardens,Garden"
St. Kilians Heritage Centre,http://www.stkiliansheritagecentre.ie,3.53E+11,378,161,1,103,4,-6.9569857,53.8126897,Cavan,Mullagh,Ireland,"Museums and Attraction,Shopping,Cafe,Food and Drink,Tour"
Kilkenny City Library,https://www.kilkennylibrary.ie,+353(0)567794174,513,276,3,103,7,-7.250184,52.653473,Kilkenny,Kilkenny City,Republic of Ireland,"Learning,Literary Ireland"
Sliabh Beagh Adventures,https://sliabhbeaghadventures.ie,,428,340,5,102,4,-7.1294301,54.3056891,Monaghan,Knockatallon,Republic of Ireland,"Climbing,Activity Operator,Cycling,Walking,Natural Landscape"
Go Gaelic,http://www.gogaelic.ie,3.54E+11,508,260,4,102,6,-8.966588827,52.81404477,Clare,Clarecastle,Ireland,"Gaa,Learning,Activity Operator,Venue,Sports Venues"
Leprechaun and Fairy Cavern,http://www.thelastleprechaunsofireland.com/the-leprechaun-cavern,3.53E+11,376,115,4,98,11,-6.177470009,54.04140882,Louth,Carlingford,Ireland,"Learning,Museums and Attraction,Venue,Comedy,Tour"
Ha'penny Bridge,,,29,152,1,95,9,-6.263081,53.346307,Dublin,Dublin City Centre,Ireland,Public Sculpture
Inishbiggle - Bull's Mouth Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Bull-s-Mouth-Loop/495/,,326,317,5,95,5,-9.900782034,53.99511637,Mayo,,Republic of Ireland,"Walking,Island,Offshore Island"
Burren Experience Guided Walks,http://www.mullaghmore-burren.com,3.54E+11,425,500,5,95,4,-9.062701254,52.94492049,Clare,Corofin,Ireland,"Learning,Walking,Activity Operator,National Park,National and Forest Park,Tour"
Front Strand Beach,https://youghal.ie/top-10-things-to-do/youghal-beaches/,+353(0)2420769,164,384,2,94,6,-7.851509,51.937915,Cork,Youghal,Republic of Ireland,"Surfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
The Trinity Tree Dingle,,,347,369,5,92,11,-10.271003,52.141565,Kerry,Dingle,Republic of Ireland,Public Sculpture
St. Columb's Gardens,http://www.donegalgardentrail.com/site/?page_id=2320,3.54E+11,444,468,5,92,3,-7.9031983,55.0044336,Donegal,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Inishbofin Island (Inis Bó Finne),http://www.donegalislands.com,+353(0)749135635,484,181,2,92,8,-8.170623921,55.1678058,Donegal,,Ireland,"Bird Watching,Nature and Wildlife,Kayaking,Activity Operator,Kitesurfing,Windsurfing,Walking,Beach,Island,Offshore Island,Natural Landscape"
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,3.54E+11,17,284,2,91,4,-10.2586267,51.9489036,Kerry,Cahersiveen,Ireland,"Castle,Historic Houses and Castle,Ruins"
Portrane Beach,,+353(0)18400077,265,265,2,89,9,-6.111352026,53.49614512,Dublin,Portrane,Republic of Ireland,Beach
Country Cottage Stables,https://countrycottagestables.ie/,3.54E+11,409,259,2,89,5,-6.183672,53.163411,Wicklow,Enniskerry,Ireland,"Gardening,Nature and Wildlife,Horse Riding,Equestrian,Activity Operator,Gardens,Garden,Shopping,Cafe,Food and Drink,Food Shops"
Kilree High Cross,http://www.megalithicireland.com/High%20Cross%20Kilree.htm,,426,125,3,88,5,-7.269554,52.5181956,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Balbriggan Beach,,+353(0)18400077,85,401,2,87,3,-6.182411859,53.61201653,Dublin,Swords,Republic of Ireland,Beach
Poulshone Beach,,,278,160,5,87,10,-6.224555489,52.61782494,Wexford,Poulshone,Republic of Ireland,Beach
"St Peter's Roman Catholic Church, Drogheda",http://www.saintpetersdrogheda.ie,3.53E+11,387,384,3,87,9,-6.3533726,53.7150105,Louth,Drogheda,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Donaghmore Round Tower,http://www.navanhistory.ie/index.php?page=donaghmore,,510,104,5,87,5,-6.6624651,53.670453,Meath,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Pleasure Cruisers,http://www.pleasurecruisers.ie,3.54E+11,309,209,4,85,3,-7.927676154,53.83131319,Leitrim,Roosky,Republic of Ireland,"Cruising,Activity Operator,River,Discovery Point,Boat,Tour"
Science Gallery Dublin,https://dublin.sciencegallery.com,35318964091,314,433,1,85,3,-6.255503181,53.34386166,Dublin,,Ireland,"Covid Safety Charter,Learning,Activity Operator,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
Rush Beach,,,317,429,5,85,4,-6.085017801,53.52901043,,,,Beach
Doolin Pier,,,339,476,5,85,3,-9.4045007,53.015342,Clare,Doolin,Ireland,Embarkation Point
Carlingford Lough Greenway,https://www.visitlouth.ie/explore-and-do/do/tours-and-trails-louth/carlingford-lough-greenway.html,3.53E+11,415,154,1,85,6,-6.257084506,54.09031345,Louth,Carlingford,Ireland,"Walking,Natural Landscape"
Cleggan Harbour,,,169,106,5,84,9,-10.111172,53.556776,Galway,Cleggan,Ireland,Embarkation Point
Culleenamore Middens,http://www.carrowkeel.com/sites/coolrea/culleenamore.html,,388,326,4,84,8,-8.6092376,54.260578,Sligo,Strandhill,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
O'Driscoll Garden Centre,https://www.facebook.com/ODriscoll-Garden-Centre-449803402105043/,35350421636,49,248,1,82,12,-7.7973804,52.6702947,Tipperary,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Cork Courthouse,http://www.courts.ie/offices.nsf/bae2125da4ef043080256e45004d04f3/0a9a7f907f3e33fe80256e450050b94a?OpenDocument,3.53E+11,431,484,1,82,7,-8.4788107,51.89781,Cork,,Ireland,"Castle,Historic Houses and Castle"
F. W. Sweny & Co. Ltd.,http://sweny.ie/site/,+353(0)858146713,7,485,2,80,11,-6.250578476,53.34188602,Dublin,Dublin City,Ireland,"Historic Houses and Castle,Literary Ireland,Food Shops,Shopping"
Minard Castle,http://www.megalithicireland.com/Minard%20Castle.html,,342,216,4,80,12,-10.1104518,52.1260249,Kerry,Kilmurry,Ireland,"Castle,Historic Houses and Castle"
Kilbolane Castle,https://visitballyhoura.com/explore/kilbolane-castle,3536391300,3,457,1,79,12,-8.8468668,52.3377252,Cork,,Ireland,"Historic Houses and Castle,Castle"
Portmagee Harbour,,,75,417,5,79,11,-10.365681,51.886058,Kerry,Portmagee,Ireland,Embarkation Point
The Dillon Garden,http://www.dillongarden.com,35312148740,202,408,4,77,8,-6.1596571,53.2954544,Dublin,Monkstown,Ireland,"Gardening,Nature and Wildlife,Learning,Gardens,Garden,Tour"
Phoenix Park Visitor Centre and Ashtown Castle,http://www.phoenixpark.ie,+353(0)16770095,238,423,3,76,10,-6.331008,53.366091,Dublin,Phoenix Park,Republic of Ireland,"Covid Safety Charter,Walking,Activity Operator,Castle,Historic Houses and Castle,Gardens,Garden,Cafe,Food and Drink,Food Shops,Shopping"
Cé Bhaile an Sceilg (Ballinskelligs Pier),,,529,362,2,76,6,-10.274349,51.810877,Kerry,Ballinskelligs,Ireland,Embarkation Point
Mountain Stage,,,121,416,5,75,12,-10.034603,52.035924,Kerry,Glenbeigh,Ireland,Discovery Point
The Black Church,https://www.dublincity.ie/dublin-buildings/black-church,,230,431,2,75,9,-6.2679431,53.3546532,Dublin,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Díseart,http://www.diseart.ie,3.54E+11,344,246,3,75,10,-10.270519,52.1418479,Kerry,Dingle,Ireland,"Learning,Church Abbey,Monastery,Churches,Abbeys and Monastery,Gardens,Garden"
Granagh Castle,https://visionsofthepastblog.com/2017/08/09/granagh-castle-kilkenny-ireland,,280,256,3,73,5,-7.16274,52.28251,Kilkenny,,Ireland,"Castle,Historic Houses and Castle"
Cuan an Daingin (Dingle Harbour),,,70,170,5,72,5,-10.278091,52.139049,Kerry,Dingle,Ireland,Embarkation Point
Avoca Powerscourt,https://www.avoca.com/en/stores-and-cafes/powersourt,35312046066,511,377,4,72,3,-6.1866327,53.184251,Wicklow,Enniskerry,Republic of Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Shopping,Shopping Centres and Department Store,Historic Houses and Castle,Cafe,Vegetarian,Food Shops"
Black Linn Loop,https://visithowth.ie/the-black-linn-loop-walk/,35318323347,517,352,5,71,7,-6.065795119,53.38799393,Dublin,Howth,Republic of Ireland,"Walking,Marina,Venue,Natural Landscape"
Brideweir Hous,https://www.brideweir.ie,3532536386,99,131,4,70,10,-8.1550475,52.0869699,Cork,Conna,Ireland,"Castle,Historic Houses and Castle"
Inis Bó Finne (Inishbofin Island) - Galway,,,338,315,1,70,3,-10.212838,53.614235,Galway,,Ireland,Discovery Point
Jeremiah O'Donovan Rossa,,,391,126,2,70,9,-6.259703,53.338446,Dublin,Dublin City,Republic of Ireland,Public Sculpture
Lackeen Castle Lorrha,"http://www.megalithicireland.com/Lackeen%20Castle,%20Tipperary.html",3.54E+11,138,474,3,69,9,-8.0735866,53.0887302,Tipperary,,Ireland,"Castle,Historic Houses and Castle"
Vanda Art Gallery,http://www.vandaluddy.com,3.54E+11,302,360,4,69,3,-9.052645,53.273518,Galway,,Ireland,"Craft,Shopping,Art Gallery"
Yeats: The Life and Works of William Butler Yeats,http://www.nli.ie/yeats,+353(0)16030277,373,299,3,69,4,-6.254641,53.341081,Dublin,Dublin City,Republic of Ireland,"Learning,Museums and Attraction,Literary Ireland,Cafe,Food and Drink,Food Shops,Shopping"
Samphire Island,,,103,375,3,68,9,-9.859530615,52.27970839,Kerry,Fenit,Republic of Ireland,Discovery Point
Killaghy Castle,http://www.castlesinireland.com/castle-in-tipperary-killaghy-castle-tipperary,,232,240,5,68,6,-7.5144163,52.5172294,Tipperary,Mullinahone,Ireland,"Castle,Historic Houses and Castle"
Grange Loops - Rooskey Loop,http://www.irishtrails.ie/trails.aspx?c=Louth,,357,385,5,68,6,-6.188670914,54.04287039,Louth,Grange,Ireland,"Walking,Natural Landscape"
Littor Beach,,,486,123,2,68,6,-9.5787059,52.5737055,Kerry,,Ireland,Beach
Corcomroe Cistercian Abbey,http://monastic.ie/history/corcomroe-cisterican-abbey,3.54E+11,19,231,5,67,3,-9.0540065,53.1268421,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Shekina Sculpture Garden,http://www.shekinasculpturegarden.com,3.54E+11,167,133,1,67,4,-6.351044997,52.95589079,Wicklow,Glenmalure,Republic of Ireland,"Gardens,Garden"
Inishmurray Island,https://inishmurray.com/,,524,252,5,67,8,-8.661407319,54.43244977,Sligo,Inishmurray,Republic of Ireland,"Island,Offshore Island"
Freshford Loop,http://www.trailkilkenny.ie,,79,496,1,66,5,-7.399741169,52.73450163,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Agharinagh Inspirational Gardens,http://www.griffinsgardencentre.ie,3.53E+11,416,492,1,66,6,-8.724551,51.912194,Cork,Dripsey,Ireland,"Gardens,Garden"
Ballynatray Gardens,http://www.ballynatray.com,3532497463,464,131,4,66,6,-7.887014,51.99547,Cork,Youghal,Ireland,"Walking,Gardens,Garden"
Irish Georgian Society,http://www.igs.ie,+353(0)16798675,226,291,1,64,12,-6.250557,53.338964,Dublin,Dublin,Republic of Ireland,"Learning,Historic Houses and Castle,Food Shops,Shopping,Tour"
Irish Whiskey Museum,http://www.irishwhiskeymuseum.ie,+353(0)15250970,47,273,5,62,8,-6.259589373,53.34424924,Dublin,,Republic of Ireland,"Activity Operator,Museums and Attraction,Food and Drink,Pubs and Bar,Food Shops,Shopping,Tour"
Lynch's Castle,http://galwaycity.galway-ireland.ie/lynchs-castle.htm,,134,477,3,62,3,-9.0522862,53.2731658,Galway,,Ireland,"Castle,Historic Houses and Castle"
Doughmore Bay,,,143,396,1,62,9,-9.504238,52.745639,Clare,Doonbeg,Ireland,Discovery Point
Doheny & Nesbitt,http://dohenyandnesbitts.ie/,35316762945,522,442,1,62,3,-6.2528309,53.33805,Dublin,Dublin,Ireland,"Food and Drink,Restaurant,Historic Houses and Castle,Pubs and Bar"
Black Church Print Studio,http://blackchurchprint.ie/,+353(0)16773629,30,408,5,61,5,-6.264056,53.345635,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Activity Operator,Art Gallery"
Dublin Garden Trail,http://www.dublingardens.com, +353(0)12819422,455,128,1,61,8,-6.189413,53.298931,Dublin,Blackrock,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden,Tour"
Rascals Brewing Company,https://rascalsbrewing.com,35315382051,102,335,4,60,7,-6.3240651,53.3361014,Dublin,Inchicore,Ireland,"Covid Safety Charter,Restaurant,Food and Drink,Activity Operator,Museums and Attraction,Pubs and Bar,Food Shops,Shopping,Tour"
Dolly's Cottage,https://www.facebook.com/DollysCottage,3.54E+11,225,429,3,60,8,-8.5841759,54.270777,Sligo,Strandhill,Ireland,"Castle,Historic Houses and Castle"
Cablemaster's Residence,https://atlanticvilla.ie/cablemaster-house,3.54E+11,173,278,2,59,4,-10.289066,51.922393,Kerry,Knightstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Inishbeg,,,402,329,3,58,3,-9.343121,51.527279,Cork,Baltimore,Ireland,Discovery Point
Cú Chulainn,http://www.talkingstatuesdublin.ie/statues/cu-chulainn/,,53,239,5,57,9,-6.260721,53.349349,Dublin,,Ireland,"Public Sculpture,Talking Statue,Cafe,Food and Drink,Food Shops,Shopping"
Lehinch Beach,,,435,108,5,56,12,-9.3479973,52.933547,Clare,,Ireland,Discovery Point
The Browne Clayton Monument,https://www.igs.ie/conservation/project/browne-clayton-monument,3.54E+11,122,118,5,55,6,-6.8049493,52.3599232,Wexford,,Ireland,Public Sculpture
Biddy's Cottage,https://www.biddyscottage.com,3.54E+11,159,118,5,55,4,-6.096538524,53.27655982,Dublin,Dalkey,Ireland,"Craft,Shopping,Activity Operator,Historic Houses and Castle,Local Produce,Food and Drink,Restaurant,Food Shops"
National Folklore Collection,http://www.ucd.ie/irishfolklore,+353(0)17168216,219,500,3,55,11,-6.21882,53.30680741,Dublin,,Ireland,"Learning,Museums and Attraction,Literary Ireland,Cafe,Food and Drink,Tour"
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,3.54E+11,152,402,4,54,7,-6.351277,53.762114,Louth,Drogheda,Ireland,"Craft,Shopping,Learning,Art Gallery,Activity Operator"
"The Glen, Strandhill",,,535,183,2,54,12,-8.580854643,54.26105082,Sligo,Strandhill,Ireland,Natural Landscape
Tullaherin Round tower,,3.54E+11,408,343,3,53,11,-7.1298504,52.5793562,Kilkenny,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Bushy Park,,+353(0)14900320,91,179,4,52,12,-6.292767969,53.30131952,Dublin,Terenure,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Irish Film Institute,http://ifi.ie/archive,35316793477,144,123,4,52,8,-6.264943,53.344624,Dublin,,Republic of Ireland,"Movies,Cinema,Venue,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Food Shops,Shopping"
Esker Monastery Retreat,http://www.facebook.com/Esker-Redemptorists-251128325046360/,+353(0)91844007,166,499,5,50,12,-8.683624,53.282257,Galway,Kiltullagh,Republic of Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Activity Operator"
St. Patrick's Trail - Driving Route,http://www.carlowtourism.com,+353(0)599131554,220,383,5,50,3,-6.928555,52.83657,Carlow,,Ireland,"Activity Operator,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Ruins,Historic Houses and Castle"
Saint Cronan's 10th Century Church Tuamgraney,http://www.discoverloughderg.ie/tuamgraney-church,35361921351,454,349,1,50,12,-8.5393666,52.8966945,Clare,Tuamgraney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
